units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
need a unit with a private room in the e0 area	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-neighborhood string-= e0
units with larger rent than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
housing units with 2 neighborhoods	SW.countComparative entity-en.housing_unit string-neighborhood string-= number2
find housing units with size lesser than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity number800 en.square_feet )
800 square feet housing unit with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-has_private_bath
which housing unit is available for the least rent	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-rent
housing unit in west midtown posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-neighborhood string-= en.neighborhood.midtown_west
how many neighborhoods	.size entity-en.neighborhood
which neighborhoods have housing where dogs are allowed	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-allows_dogs )
which housing unit has a rent of 1500 dollars or 2000 dollars per month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity SW.concat )
housing unit smaller than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-< ( SW.ensureNumericEntity number800 en.square_feet )
what housing unit allowing cats was posted on jan 2	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-allows_cats
units posted before january 2nd	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity date:2015:1:2 )
aparartment or e0 units	SW.filter entity-en.housing_unit string-housing_type string-= SW.concat
what are the rare housing types	SW.countSuperlative entity-en.housing string-min SW.reverse string-housing_type entity-en.housing_unit
housing unit bigger than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity number800 en.square_feet )
800 square foot e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity number800 en.square_feet )
neighborhood of e0	SW.filter ( SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= e0 ) SW.reverse string-neighborhood string-= e0
specify the housing type of the housing unit that has a private bath	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_bath )
how large is the unit at e0	SW.getProperty e0 string-size
housing types in the e0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 )
housing unit that is an aprtment	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= en.housing.apartment ) string-housing_type string-= en.housing.apartment
show me housing units that arent e0	SW.filter entity-en.housing_unit string-housing_type string-!= e0
what housing unit posted on jan 2 has the same rent as e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) SW.reverse string-rent string-= e0
looking for a unit with a private bathroom and dog friendly	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-allows_dogs
what kinds of housing include a private room	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_room )
what kind of housing is available for 1500month	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar )
which housing unit in this neighbourhood has the facility of a private bath	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-has_private_bath )
show me housing with 800 square feet of space	SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet
which housing unit has the least variety of houses	SW.countSuperlative entity-en.housing_unit string-min string-housing_type
housing unit with 2 types of housing	SW.countComparative entity-en.housing_unit string-housing_type string-< number2
what e0 housing unit has a private bath	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-has_private_bath
what are the  units that  do  not belong to the area around e0	SW.filter entity-en.housing_unit string-neighborhood string-!= e0
housing unit that allows cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-allows_cats
e0 with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-has_private_bath
e0 that allow dogs	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-allows_dogs
neighborhood with the most housing units	SW.countSuperlative entity-en.neighborhood string-max SW.reverse string-neighborhood entity-en.housing_unit
housing type posted d0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
which housing consists of two units maximum	SW.countComparative entity-en.housing SW.reverse string-housing_type string-<= number2 entity-en.housing_unit
e0 renting for 1500 a month	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-housing_type string-= e0
800 foot e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-size string-= number800 en.square_feet
housing that is 800 square feet or less or 1000 square feet or less	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity SW.concat )
housing that is at least 800 square feet or at least 1000 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity SW.concat )
cat friendly e0 in e0	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-allows_cats
what is the neighborhood  of the housing unit with the monthly rent 1500 dollars	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar )
what is the type of housing that has a private room	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-has_private_room )
housing unit with the smallest posting date	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-posting_date
how many neighborhoods are in the city	.size entity-en.neighborhood
which housing unit has  the variety of houses	SW.countSuperlative entity-en.housing_unit string-max string-housing_type
housing that allows dogs and was posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-allows_dogs
housing posted before d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity d0 )
which housing posted on the same date as e0	SW.filter entity-en.housing_unit string-posting_date string-= SW.getProperty e0 string-posting_date
what neighborhood is e0 in	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= e0
which housing unit has the monthly rent of e0	SW.filter entity-en.housing_unit string-rent string-= SW.getProperty e0 string-rent
find 800 square feet sized housing in the neighborhoods of e0	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-neighborhood string-= e0
housing units with one housing type	SW.countComparative entity-en.housing_unit string-housing_type string-< number2
a neighborhood with at most twohouse units	SW.countComparative entity-en.neighborhood SW.reverse string-neighborhood string-<= number2 entity-en.housing_unit
800 square foot unit with rent of 1500 monthly	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-size string-= number800 en.square_feet
what kinds of housing allow cats	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-allows_cats )
find housing between 800 and 1000 square feet	SW.filter entity-en.housing_unit string-size string-= SW.concat
e0 posted on d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity d0 )
what is the average find 800 square feet housing units that allow cats	string-avg SW.getProperty entity-en.housing_unit string-size
e0 that were posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-posting_date string-= d1
show me the housing with the most space available	SW.superlative entity-en.housing_unit string-max SW.ensureNumericProperty string-size
what are the housing units in the area around e0	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 )
what e0 housing allows cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-neighborhood string-= e0
e0 or e1	SW.filter entity-en.housing_unit string-housing_type string-= SW.concat
which is the neighborhood shared by most nuumber of housing units	SW.countSuperlative entity-en.neighborhood string-max SW.reverse string-neighborhood entity-en.housing_unit
housing not posted on d0	SW.filter entity-en.housing_unit string-posting_date string-!= d0
find housing units around the neighborhoods of e0	SW.filter entity-en.housing_unit string-neighborhood string-= SW.getProperty e0 string-neighborhood
show me housing in e0 where rent is 1500 dollars a month	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-rent string-= number1500 en.dollar
which housing unit has a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
what neighborhood is e0 in	SW.getProperty e0 string-neighborhood
which housing unit has 1500 dollars as monthly rent	SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar
which housing unit is in the area of e0 or e1	SW.filter entity-en.housing_unit string-neighborhood string-= SW.concat
